name,index,patent_count_2012,patent_count_2013,patent_count_2014,patent_count_2015,patent_count_2016
Radboud University Nijmegen,,,,,1.0,
University of Arizona,,,,,131.0,
Princeton University,,,,,149.0,
Purdue University,,,,,1.0,
Howard Hughes Medical Institute,,,,,21.0,
University of Padova,,,,,0.0,
Uppsala University,,,,,0.0,
Fudan University,,,,,54.0,
University of Colorado Boulder,,,,,0.0,
University of Southampton,,,,,56.0,
Universite de Montreal,,,,,27.0,
University of Milan,,,,,0.0,
California Institute of Technology,,,,,545.0,
Ecole Polytechnique Federale de Lausanne (EPFL),,,,,148.0,
Leiden University,,,,,14.0,
Michigan State University,,,,,109.0,
Centers for Disease Control and Prevention,,,,,15.0,
University of Birmingham,,,,,0.0,
University of Texas M. D. Anderson Cancer Center,,,,,1.0,
Aix Marseille Universite,,,,,2.0,
University of California at Irvine,,,,,0.0,
U.S. Department of Agriculture,,,,,1.0,
University of Utah,,,,,239.0,
University of Western Australia,,,,,32.0,
Carnegie Mellon University,,,,,130.0,
Memorial Sloan-Kettering Cancer Center,,,,,118.0,
Icahn School of Medicine at Mount Sinai (ISMMS),,,,,0.0,
National Taiwan University,,,,,297.0,
University of Naples Federico II,,,,,0.0,
Arizona State University,,,,,217.0,
McMaster University,,,,,46.0,
University of Glasgow,,,,,34.0,
Lawrence Berkeley National Laboratory,,,,,2.0,
Huazhong University of Science and Technology,,,,,69.0,
University of Colorado Denver,,,,,1.0,
Sun Yat-Sen University,,,,,67.0,
"Rutgers - The State University of New Jersey, New Brunswick",,,,,0.0,
University of Virginia,,,,,140.0,
University of Sheffield,,,,,20.0,
Baylor College of Medicine,,,,,108.0,
University of Nottingham,,,,,40.0,
Nanjing University,,,,,62.0,
Australian National University,,,,,15.0,
University of Calgary,,,,,2.0,
University of Science and Technology of China,,,,,21.0,
Universite Grenoble Alpes,,,,,0.0,
University of Bern,,,,,4.0,
University of Hong Kong,,,,,215.0,
University of Geneva,,,,,8.0,
RWTH Aachen University,,,,,1.0,
Universidad Autonoma de Madrid,,,,,25.0,
AP-HP Assistance Publique - Hopitaux de Paris,,,,,0.0,
Tel Aviv University,,,,,196.0,
King Abdulaziz University,,,,,19.0,
Harbin Institute of Technology,,,,,44.0,
University of Adelaide,,,,,0.0,
Osaka University,,,,,304.0,
Dana-Farber Cancer Institute,,,,,222.0,
Delft University of Technology,,,,,1.0,
University of Iowa,,,,,97.0,
INRA Institut National de La Recherche Agronomique,,,,,2.0,
Tohoku University,,,,,301.0,
Universidad Complutense,,,,,18.0,
Technische Universitat Dresden,,,,,69.0,
Case Western Reserve University,,,,,216.0,
Universite Paris 5,,,,,0.0,
University of Basel,,,,,6.0,
Queen Mary University of London,,,,,30.0,
University of Liverpool,,,,,30.0,
Wageningen University & Research,,,,,0.0,
University of Gothenburg,,,,,0.0,
Chinese University of Hong Kong,,,,,60.0,
Technical University of Denmark,,,,,35.0,
University of Bonn,,,,,3.0,
Brown University,,,,,60.0,
Islamic Azad University,,,,,0.0,
University of Erlangen-Nuremberg,,,,,0.0,
Charite - Universitatsmedizin Berlin,,,,,34.0,
University of Ottawa,,,,,30.0,
Medical Research Council,,,,,66.0,
Xi'an Jiaotong University,,,,,0.0,
University of Freiburg,,,,,0.0,
University of Miami,,,,,63.0,
Cleveland Clinic Foundation,,,,,218.0,
Shandong University,,,,,16.0,
Karlsruhe Institute of Technology KIT,,,,,2.0,
University of Leeds,,,,,53.0,
University of California at Santa Barbara,,,,,0.0,
University of Pisa,,,,,0.0,
Sungkyunkwan University,,,,,238.0,
University of Auckland,,,,,1.0,
University of Tubingen,,,,,0.0,
Polish Academy of Sciences,,,,,3.0,
Tufts University,,,,,67.0,
Universidade de Lisboa,,,,,5.0,
Universidade do Porto,,,,,19.0,
University of Rochester,,,,,168.0,
Yeshiva University,,,,,58.0,
University of Illinois at Chicago,,,,,0.0,
Charles University,,,,,0.0,
University of Gottingen,,,,,0.0,
Royal Institute of Technology,,,,,0.0,
Wuhan University,,,,,19.0,
Maastricht University,,,,,11.0,
Sichuan University,,,,,26.0,
Virginia Polytechnic Institute and State University,,,,,1.0,
University of Warwick,,,,,31.0,
Cardiff University,,,,,1.0,
Czech Academy of Sciences,,,,,0.0,
Universitat de Valencia,,,,,21.0,
North Carolina State University,,,,,138.0,
Yonsei University,,,,,408.0,
Norwegian University of Science and Technology,,,,,32.0,
Western University,,,,,25.0,
University of Alabama at Birmingham,,,,,3.0,
University of Turin,,,,,0.0,
Newcastle University,,,,,0.0,
London School of Hygiene and Tropical Medicine,,,,,8.0,
University of Texas Southwestern Medical Center,,,,,6.0,
University of Waterloo,,,,,7.0,
Universite Paris Sorbonne - Paris IV,,,,,0.0,
Oregon Health and Science University,,,,,10.0,
University of Athens,,,,,0.0,
University of Florence,,,,,0.0,
Korea University,,,,,277.0,
University of South Florida,,,,,204.0,
Tongji University,,,,,19.0,
Central South University,,,,,4.0,
INFN,,,,,3.0,
Universite de Bordeaux,,,,,81.0,
University of Cape Town,,,,,34.0,
Stockholm University,,,,,0.0,
Indiana University Bloomington,,,,,0.0,
Jilin University,,,,,10.0,
University of Connecticut,,,,,101.0,
University of Bergen,,,,,0.0,
University of Lausanne,,,,,2.0,
University of Munster,,,,,1.0,
Syddansk Universitet,,,,,17.0,
CSIRO,,,,,1.0,
Indiana University-Purdue,,,,,0.0,
Nagoya University,,,,,133.0,
City University of New York,,,,,62.0,
A-STAR,,,,,10.0,
Universite Catholique de Louvain,,,,,46.0,
Universite Claude Bernard Lyon 1,,,,,93.0,
Aalborg University,,,,,0.0,
Korea Advanced Institute of Science and Technology,,,,,420.0,
Medical University of Vienna,,,,,2.0,
University of California Office of the President,,,,,0.0,
Iowa State University,,,,,61.0,
Wayne State University,,,,,90.0,
Kyushu University,,,,,233.0,
CONICET,,,,,20.0,
South China University of Technology,,,,,59.0,
Argonne National Laboratory,,,,,2.0,
University of Duisburg-Essen,,,,,2.0,
University of Maryland-Baltimore,,,,,121.0,
Tianjin University,,,,,38.0,
SUNY Stony Brook,,,,,0.0,
University of Mainz,,,,,0.0,
University of Cologne,,,,,2.0,
University of Wurzburg,,,,,0.0,
SUNY Buffalo,,,,,0.0,
City University of Hong Kong,,,,,90.0,
University of Malaya,,,,,4.0,
Universite de Strasbourg,,,,,97.0,
Beihang University,,,,,19.0,
Hong Kong Polytechnic University,,,,,43.0,
Universite Laval,,,,,43.0,
Broad Institute,,,,,104.0,
University of Kansas,,,,,97.0,
Oak Ridge National Laboratory,,,,,2.0,
University of Exeter,,,,,18.0,
Griffith University Queensland,,,,,0.0,
University College Dublin,,,,,34.0,
University of Antwerp,,,,,1.0,
Moscow State University,,,,,1.0,
King Saud University,,,,,65.0,
Curtin University of Technology,,,,,8.0,
RIKEN,,,,,460.0,
University of New Mexico,,,,,2.0,
University of Rome Tor Vergata,,,,,0.0,
University of Kentucky,,,,,65.0,
Hong Kong University of Science and Technology,,,,,96.0,
Aalto University,,,,,20.0,
Universite Libre de Bruxelles,,,,,34.0,
University of Nebraska,,,,,80.0,
University of Georgia,,,,,0.0,
Soochow University,,,,,34.0,
University of Oklahoma,,,,,56.0,
Universite de Toulouse,,,,,0.0,
Hebrew University of Jerusalem,,,,,0.0,
Dalian University of Technology,,,,,41.0,
Universidad Nacional Autonoma de Mexico,,,,,31.0,
University of Otago,,,,,2.0,
Ruhr-Universitat Bochum,,,,,5.0,
Florida State University,,,,,70.0,
Queensland University of Technology,,,,,16.0,
Aristotle University of Thessaloniki,,,,,0.0,
University of Kiel,,,,,1.0,
University of Massachusetts,,,,,207.0,
University of Vienna,,,,,8.0,
George Washington University,,,,,35.0,
University of California at Santa Cruz,,,,,0.0,
University of Durham,,,,,11.0,
Eindhoven University of Technology,,,,,0.0,
Universita Degli Studi Di Genova,,,,,8.0,
"University of Tennessee, Knoxville",,,,,0.0,
University of York,,,,,20.0,
Linkoping University,,,,,0.0,
University of Hamburg,,,,,0.0,
University of Granada,,,,,0.0,
SUNY Albany,,,,,0.0,
University of Leicester,,,,,39.0,
Technion-Israel Institute of Technology,,,,,1.0,
Northeastern University,,,,,144.0,
University of Ulm,,,,,0.0,
Universidade Estadual de Campinas,,,,,8.0,
University of Hawaii at Manoa,,,,,0.0,
National Health Service,,,,,6.0,
University of the Witwatersrand,,,,,32.0,
University of Aberdeen,,,,,13.0,
Chongqing University,,,,,11.0,
University of Manitoba,,,,,46.0,
Ecole Normale Superieure,,,,,57.0,
University of California at Riverside,,,,,0.0,
IRD,,,,,29.0,
Guy's and St Thomas' NHS Foundation Trust,,,,,0.0,
Chinese Academy of Medical Sciences,,,,,12.0,
Simon Fraser University,,,,,34.0,
University of Pavia,,,,,0.0,
Dartmouth College,,,,,100.0,
Universidade Estadual Paulista Julio de Mesquita Filho,,,,,0.0,
Georgetown University,,,,,85.0,
Technische Universitat Berlin,,,,,36.0,
Humboldt-Universitat zu Berlin,,,,,11.0,
University of South Carolina,,,,,70.0,
Friedrich-Schiller-Universitat Jena,,,,,21.0,
Academia Sinica Taiwan,,,,,0.0,
German Cancer Research Center (DKFZ),,,,,0.0,
University of Notre Dame,,,,,60.0,
Heinrich-Heine-University Dusseldorf,,,,,0.0,
Temple University,,,,,0.0,
Universite Toulouse III - Paul Sabatier,,,,,3.0,
University of Perugia,,,,,0.0,
University of Alabama,,,,,58.0,
Universite de Nantes,,,,,80.0,
Tehran University of Medical Sciences,,,,,0.0,
University of Twente,,,,,4.0,
University of London,,,,,41.0,
Xiamen University,,,,,24.0,
