name,establishment_date,establishment_year,source_link,concerns,
University of Jinan,1948 (predecessor school)，2000 (merger of three institutions into University of Jinan),1948,https://en.wikipedia.org/wiki/University_of_Jinan,,
Royal Holloway University of London,"1849: Bedford College
1879: Royal Holloway College
1900: became a constituent college of the University of London
1985: merger of Bedford College and Royal Holloway College",1849,https://en.wikipedia.org/wiki/Royal_Holloway_University_of_London,,
Universidad de Vigo,1990,1990,https://en.wikipedia.org/wiki/University_of_Vigo,1,
Ecole Polytechnique de Montreal,1873,1873,https://en.wikipedia.org/wiki/Ecole_Polytechnique_de_Montreal,,
City University London,"1852 – Inns of Court School of Law
1894 – Northampton Institute
1966 – Gained University Status by Royal Charter
2016 – Constituent College of University of London",1852,https://en.wikipedia.org/wiki/City_University_London,,
University of Tennessee Health Science Center,1911,1911,https://en.wikipedia.org/wiki/University_of_Tennessee_Health_Science_Center,,
China University of Petroleum (East China),1953,1953,https://en.wikipedia.org/wiki/China_University_of_Petroleum_(East_China),1,
Universitat Bayreuth,1975,1975,https://en.wikipedia.org/wiki/Universitat_Bayreuth,1,
University of New Hampshire,1866,1866,https://en.wikipedia.org/wiki/University_of_New_Hampshire,,
University of Udine,1978,1978,https://en.wikipedia.org/wiki/University_of_Udine,1,
University of Akron,1870,1870,https://en.wikipedia.org/wiki/University_of_Akron,,
Southern Medical University,1951,1951,https://en.wikipedia.org/wiki/Southern_Medical_University,1,
Universitat Bielefeld,"September 5, 1969",1969,https://en.wikipedia.org/wiki/Universitat_Bielefeld,1,
South China Normal University,1933,1933,https://en.wikipedia.org/wiki/South_China_Normal_University,,
Universidad de Salamanca,Unknown; teaching existed since at least 1130. It was chartered by the pope Alexander IV in 1255.[1],1130,https://en.wikipedia.org/wiki/Universidad_de_Salamanca,,
University of Tromso,1968,1968,https://en.wikipedia.org/wiki/University_of_Tromso,1,
Kazan Volga Region Federal University,5 (new style: 17) November 1804,1804,https://en.wikipedia.org/wiki/Kazan_(Volga_region)_Federal_University,,
Universidade Federal do Parana,1912,1912,https://en.wikipedia.org/wiki/Universidade_Federal_do_Parana,,
Tokyo Medical and Dental University,1928,1928,https://en.wikipedia.org/wiki/Tokyo_Medical_and_Dental_University,,
University of Tennessee System,1968,1968,https://en.wikipedia.org/wiki/University_of_Tennessee_System,1,
Instituto Politecnico Nacional,1 January 1936[3],1936,https://en.wikipedia.org/wiki/Instituto_Politecnico_Nacional,,
University of Sfax,1986,1986,https://en.wikipedia.org/wiki/University_of_Sfax,1,
University of Missouri at St. Louis,"1960 (Normandy Residence Center)
1963 (UMSL)",1960,https://en.wikipedia.org/wiki/University_of_Missouri_at_St._Louis,1,
Universidade Federal de Pernambuco,1946 (Law School dates from 1827),1946,https://en.wikipedia.org/wiki/Universidade_Federal_de_Pernambuco,,
Eotvos Lorand University,1635; 383 years ago,1635,https://en.wikipedia.org/wiki/Eotvos_Lorand_University,,
Kunming University of Science and Technology,1954,1954,https://en.wikipedia.org/wiki/Kunming_University_of_Science_and_Technology,1,
Universita Roma Tre,1992,1992,https://en.wikipedia.org/wiki/Roma_Tre_University,1,
University of Messina,1548,1548,https://en.wikipedia.org/wiki/University_of_Messina,,
Universidad de Cordoba,1972,1972,https://en.wikipedia.org/wiki/University_of_C%C3%B3rdoba_(Spain),1,which country?
Universidad Nacional de Colombia,"September 22, 1867",1867,https://en.wikipedia.org/wiki/Universidad_Nacional_de_Colombia,,
Open University Milton Keynes,1969,1969,https://en.wikipedia.org/wiki/Open_University,1,
SUNY Downstate Medical Center,1860,1860,https://en.wikipedia.org/wiki/SUNY_Downstate_Medical_Center,,
China Medical University Taichung,1958,1958,https://en.wikipedia.org/wiki/China_Medical_University_(Taiwan),1,
University of Oldenburg,1973,1973,https://en.wikipedia.org/wiki/University_of_Oldenburg,1,
Universidad de Extremadura,1973,1973,https://en.wikipedia.org/wiki/Universidad_de_Extremadura,1,
Universite de Franche-Comte,"1423 (in Dole, Jura)
1621 (in Besançon)",1423,https://en.wikipedia.org/wiki/Universite_de_Franche-Comte,,
University of Idaho,"January 30, 1889",1889,https://en.wikipedia.org/wiki/University_of_Idaho,,
North Dakota State University,1890,1890,https://en.wikipedia.org/wiki/North_Dakota_State_University,,
Yangzhou University,1902,1902,https://en.wikipedia.org/wiki/Yangzhou_University,,
Universidad de Alcala,1499[1],1499,https://en.wikipedia.org/wiki/Universidad_de_Alcala,,
All India Institute of Medical Sciences,,,it is a set of universities,,it is a set of universities
National Sun Yat-sen University,"Founded 1924
Re-established November 12, 1980",1924,https://en.wikipedia.org/wiki/National_Sun_Yat-sen_University,,
Vellore Institute of Technology,"It was established under Section 3 of the University Grants Commission (UGC) Act, 1956, and was founded in 1984 as a self-financing institution called the Vellore Engineering College. ",,http://www.vit.ac.in/about,,there are two years
SUNY Binghamton,1946,1946,https://en.wikipedia.org/wiki/SUNY_Binghamton,,
Universitat Jaume I,1991,1991,https://en.wikipedia.org/wiki/Universitat_Jaume_I,1,
Postgraduate Institute of Medical Education and Research,1962,1962,https://en.wikipedia.org/wiki/Postgraduate_Institute_of_Medical_Education_and_Research,1,
National Chung Hsing University,1919,1919,https://en.wikipedia.org/wiki/National_Chung_Hsing_University,,
Universite des Sciences et Technologies de Lille,"1562, 1854",1562,https://en.wikipedia.org/wiki/Universite_des_Sciences_et_Technologies_de_Lille,,
Lulea University of Technology,"1971, 1997",1971,https://en.wikipedia.org/wiki/Lulea_University_of_Technology,1,
Korea Institute of Science and Technology,1966,1966,https://en.wikipedia.org/wiki/Korea_Institute_of_Science_and_Technology,1,
University of L'Aquila,"1596 ( as L'aquilanum Collegium)
1964 (as modern university)",1596,https://en.wikipedia.org/wiki/University_of_L'Aquila,,
University of Girona,1446,1446,https://en.wikipedia.org/wiki/University_of_Girona,,
Gdansk University of Technology,1904,1904,https://en.wikipedia.org/wiki/Gdansk_University_of_Technology,,
Palacky University,1573,1573,https://en.wikipedia.org/wiki/Palacky_University,,
Uniformed Services University of the Health Sciences,1972,1972,https://en.wikipedia.org/wiki/Uniformed_Services_University_of_the_Health_Sciences,1,
Michigan Technological University,1885,1885,https://en.wikipedia.org/wiki/Michigan_Technological_University,,
Anhui University,1928,1928,https://en.wikipedia.org/wiki/Anhui_University,,
Bogazici University,1863,1863,https://en.wikipedia.org/wiki/Bogazici_University,,
Ningbo University,1986,1986,https://en.wikipedia.org/wiki/Ningbo_University,1,
Guangdong University of Technology,1952,1952,https://en.wikipedia.org/wiki/Guangdong_University_of_Technology,1,
Dongguk University,"May 8, 1906",1906,https://en.wikipedia.org/wiki/Dongguk_University,,
Shanxi University,1902,1902,https://en.wikipedia.org/wiki/Shanxi_University,,
XiangTan University,1958,1958,https://en.wikipedia.org/wiki/Xiangtan_University,1,
Silesian University of Technology,24 May 1945,1945,https://en.wikipedia.org/wiki/Silesian_University_of_Technology,,
Universite d'Angers," It was founded in 1356, closed down in 1793, and reestablished in 1971.",1356,https://en.wikipedia.org/wiki/University_of_Angers,,reesatblishments
Universite Paris XII,"1970, after dissolution of University of Paris",1970,https://en.wikipedia.org/wiki/Paris_12_Val_de_Marne_University,1,
Universidad Nacional de La Plata,1897; 121 years ago,1897,https://en.wikipedia.org/wiki/Universidad_Nacional_de_La_Plata,,
Universidade de Brasilia,"April 21, 1962",1962,https://en.wikipedia.org/wiki/Universidade_de_Brasilia,1,
University of Lubeck,1964,1964,https://en.wikipedia.org/wiki/University_of_Lubeck,1,
Universidad de Valladolid,1241,1241,https://en.wikipedia.org/wiki/Universidad_de_Valladolid,,
Chongqing University of Medical Sciences,1956,1956,https://en.wikipedia.org/wiki/Chongqing_University_of_Medical_Sciences,1,
University of A Coruna,1990 (From 1989 fully independent from the University of Santiago de Compostela)[1],1990,https://en.wikipedia.org/wiki/University_of_A_Coruna,1,
University of Novi Sad,1960; 58 years ago,1960,https://en.wikipedia.org/wiki/University_of_Novi_Sad,1,
Qingdao University,1909,1909,https://en.wikipedia.org/wiki/Qingdao_University,,
CentraleSupelec,1 January 2015,2015,https://en.wikipedia.org/wiki/CentraleSupelec,1,
Tianjin Medical University,1951,1951,https://en.wikipedia.org/wiki/Tianjin_Medical_University,1,
Universidade Federal do Ceara,1954,1954,https://en.wikipedia.org/wiki/Universidade_Federal_do_Ceara,1,
Universidade Federal de Sao Carlos,1968,1968,https://en.wikipedia.org/wiki/Universidade_Federal_de_Sao_Carlos,1,
University of Natural Resources and Applied Life Sciences,1872,1872,"https://en.wikipedia.org/wiki/University_of_Natural_Resources_and_Life_Sciences,_Vienna",,
