Institution,establishment_date,source,,order,type,name,countryCode,region,sector,id,country
Karolinska Institutet,,,,45,application/json,Karolinska Institutet,swe,EUR,academic,332004,Sweden
Warsaw University of Technology,,,,46,application/json,Warsaw University of Technology,pol,EUR,academic,327038,Poland
King's College London,,,,46,application/json,King's College London,gbr,EUR,academic,315026,United Kingdom
Kanazawa University,,,,47,application/json,Kanazawa University,jpn,APAC,academic,208060,Japan
The Ohio State University,,,,47,application/json,The Ohio State University,usa,NAM,academic,508179,United States
King Saud University,,,,48,application/json,King Saud University,sau,MEA,academic,409005,Saudi Arabia
Tsinghua University,,,,48,application/json,Tsinghua University,chn,APAC,academic,203209,China
University of California at Santa Barbara,,,,49,application/json,University of California at Santa Barbara,usa,NAM,academic,508266,United States
Masaryk University,,,,49,application/json,Masaryk University,cze,EUR,academic,308006,Czech Republic
University of Geneva,,,,50,application/json,University of Geneva,che,EUR,academic,306014,Switzerland
Universiti Teknologi Petronas,,,,50,application/json,Universiti Teknologi Petronas,mys,APAC,academic,211013,Malaysia
Ain Shams University,,,,51,application/json,Ain Shams University,egy,AFR,academic,104001,Egypt
University of California at Irvine,,,,51,application/json,University of California at Irvine,usa,NAM,academic,508261,United States
Okayama University,,,,52,application/json,Okayama University,jpn,APAC,academic,208119,Japan
University of Groningen,,,,52,application/json,University of Groningen,nld,EUR,academic,325013,Netherlands
Shenzhen University,,,,53,application/json,Shenzhen University,chn,APAC,academic,203182,China
Technion-Israel Institute of Technology,,,,53,application/json,Technion-Israel Institute of Technology,isr,MEA,academic,403005,Israel
Tokyo University of Agriculture and Technology,,,,54,application/json,Tokyo University of Agriculture and Technology,jpn,APAC,academic,208161,Japan
University of Melbourne,,,,54,application/json,University of Melbourne,aus,APAC,academic,201025,Australia
Universidad de Castilla-La Mancha,,,,55,application/json,Universidad de Castilla-La Mancha,esp,EUR,academic,312018,Spain
Aarhus University,,,,55,application/json,Aarhus University,dnk,EUR,academic,310010,Denmark
University of Lubeck,,,,56,application/json,University of Lubeck,deu,EUR,academic,309083,Germany
Carnegie Mellon University,,,,56,application/json,Carnegie Mellon University,usa,NAM,academic,508031,United States
Purdue University,,,,57,application/json,Purdue University,usa,NAM,academic,508192,United States
AgroParisTech,,,,57,application/json,AgroParisTech,fra,EUR,academic,314099,France
Curtin University of Technology,,,,58,application/json,Curtin University of Technology,aus,APAC,academic,201006,Australia
